,CMLSP,FCDE,FERDE,FWA-DM,GaAPADE,L-SHADE,MVMO,NRGA,OptBees,POBL_ADE,RSDE,SOO,SOO+BOBYQA,UMOEAS,b3e3pbest,rmalschcma
F1,1.76871165195686E-07,1150612.94111143,5234091.42430531,5013.0489672621,0,0,0.0004954047,27904.5013617886,784.1906129745,16226.5696398681,0,8810740,4569.72,0,2626511.6879519,0
F2,1.11457647058824E-15,16034575.5021883,138042857.426333,0.0001341896,0,0,7.09841784264114E-09,914.6605137471,0.009882615,2273.0552325532,0,6.343,0.036,0,224053205.940771,0
F3,0.0001055527,1234.9883133221,4545.6467299547,1.87734004009561E-09,0,0,9.85965824381373E-11,1516.8063187142,0.9213070022,0.0005744588,0,6643.67,5842.92,0,4305.3999033165,1.02548509803922E-07
F4,3.34372941176471E-15,41.9776326457,48.4558884923,1.4132347738,30.6882352941,29.4095534696,9.5456241843,15.435575447,2.6908171845,25.5082559294,2.8109704445,0.678,0,0,52.5332862745,0.0850079804
F5,16.863048009,20.3811447193,20.0914528908,20.0272395439,19.6767,14.1455983633,16.5805848674,19.606878119,19.9999742353,19.0870415686,19.2163114314,20,20,16.8309965764,20.2129862745,13.6519611765
F6,0.0620104547,5.3279975283,3.4732491808,0.7063044535,0.1483755759,0.0175400641,0.0034445483,2.4498260245,3.0166234,1.0394580371,0.052908326,0.002,0.002,0,2.7907750686,0.0001478613
F7,0,0.8226381996,2.1930349321,0.0947993946,0.0031634515,0.0030429237,0.0185835559,0.2030302432,0.1561593156,0.1626861398,0.0354962741,0.049,0.049,0,3.3068928078,0
F8,2.0706781043,14.227189654,9.7698603705,0.253616817,0,0,6.68746117647059E-15,5.5847341813,1.1591599372549E-13,7.8088834314,0.6608053702,18.904,18.904,0,13.2486134102,0
F9,1.6585014675,35.7932178674,18.745724127,6.0084833174,3.3790045098,2.344597678,3.4921110969,8.6936763156,20.8355695314,7.6307647294,8.5224057706,8.955,8.955,2.7254764996,21.0368678431,3.3165296216
F10,196.1156419608,488.591642579,151.518814072,1.5926918245,0.1517888627,0.0085721782,2.1369188595,119.4300157542,219.2256404627,153.4006447059,68.4415846039,130.39,130.39,0.3738596535,330.8470785997,7.677945791
